frame,timestamp_sec,shot_type,player_id,evidence
106,3.533,Serve/Smash,4,0.9995
194,6.467,Backhand,52,0.8968
242,8.067,Serve/Smash,2,0.6613
344,11.467,Serve/Smash,102,0.99
548,18.267,Forehand,3,0.6511
557,18.567,Backhand,222,0.611
607,20.233,Backhand,222,0.6969
644,21.467,Backhand,268,0.6221
649,21.633,Backhand,268,0.8054
749,24.967,Serve/Smash,372,0.99
865,28.833,Serve/Smash,448,0.99
871,29.033,Backhand,445,0.7397
899,29.967,Forehand,446,0.8311
1212,40.4,Forehand,536,0.5363
1283,42.767,Serve/Smash,536,0.99
1309,43.633,Serve/Smash,599,0.99
1623,54.1,Backhand,809,0.9951
1636,54.533,Serve/Smash,779,0.99
1893,63.1,Forehand,935,0.9663
1928,64.267,Forehand,998,0.8748
1953,65.1,Serve/Smash,779,0.99
1960,65.333,Forehand,1006,0.9344
1965,65.5,Serve/Smash,1010,0.99
1982,66.067,Forehand,1006,0.9781
1992,66.4,Serve/Smash,1010,0.99
2012,67.067,Backhand,779,0.9893
2018,67.267,Backhand,779,1.0
